0Replay_id,Cluster
4-2-1-62848-6-2018-03-07T19-12-07-739,0
4-2-2-63454-5-2018-03-29T22-27-48-290,0
4-2-1-62848-4-2018-03-07T13-59-10-1027,1
4-2-2-63454-5-2018-03-29T22-38-53-900,0
4-2-1-62848-5-2018-03-10T12-16-00-1134,2
4-2-1-62848-4-2018-03-07T14-03-11-323,0
4-2-2-63454-5-2018-03-29T23-10-51-263,2
4-2-1-62848-5-2018-03-10T12-19-34-642,1
4-2-2-63454-5-2018-03-29T23-57-00-356,2
4-2-1-62848-5-2018-03-10T13-08-52-355,2
4-2-2-63454-5-2018-03-30T03-20-43-568,0
4-2-1-62848-4-2018-03-07T14-41-03-552,0
4-2-1-62848-6-2018-03-08T04-36-13-282,0
4-2-1-62848-5-2018-03-10T13-15-34-464,0
4-2-1-62848-4-2018-03-07T15-03-40-384,0
4-2-1-62848-5-2018-03-10T13-21-37-369,0
4-2-1-62848-4-2018-03-07T15-32-01-490,0
4-2-1-62848-5-2018-03-10T13-23-00-442,0
4-2-1-62848-4-2018-03-07T16-21-24-332,0
4-2-1-62848-4-2018-03-07T16-30-41-304,0
4-2-1-62848-6-2018-03-08T05-05-34-401,0
4-2-1-62848-4-2018-03-07T16-41-46-836,0
4-2-1-62848-4-2018-03-07T17-52-14-252,0
4-2-2-63454-5-2018-03-30T06-11-47-374,0
4-2-1-62848-6-2018-03-08T08-20-55-519,0
4-2-1-62848-4-2018-03-07T18-03-06-250,0
4-2-2-63454-5-2018-03-30T06-18-12-490,0
4-2-1-62848-6-2018-03-08T09-21-29-275,0
4-2-1-62848-4-2018-03-07T18-09-54-235,0
4-2-2-63454-5-2018-03-30T06-19-44-280,0
4-2-1-62848-6-2018-03-08T09-53-44-618,0
4-2-1-62848-4-2018-03-07T18-20-36-312,0
4-2-1-62848-4-2018-03-07T18-57-48-314,0
4-2-2-63454-5-2018-03-30T06-21-41-1020,0
4-2-1-62848-4-2018-03-07T19-38-54-666,0
4-2-1-62848-6-2018-03-08T10-29-36-881,0
4-2-2-63454-5-2018-03-30T06-25-15-427,0
4-2-1-62848-5-2018-03-10T15-13-31-297,0
4-2-1-62848-6-2018-03-08T12-04-47-305,0
4-2-1-62848-4-2018-03-07T19-50-29-662,0
4-2-1-62848-5-2018-03-10T15-14-12-225,1
4-2-1-62848-6-2018-03-08T12-11-39-271,0
4-2-1-62848-5-2018-03-10T15-17-27-515,0
4-2-1-62848-4-2018-03-07T19-56-34-346,0
4-2-1-62848-6-2018-03-08T12-44-20-381,0
4-2-2-63454-5-2018-03-30T07-47-00-441,0
4-2-1-62848-6-2018-03-08T12-48-32-646,1
4-2-1-62848-5-2018-03-10T15-24-04-1000,0
4-2-2-63454-5-2018-03-30T07-49-42-789,2
4-2-1-62848-4-2018-03-07T20-17-55-1110,0
4-2-2-63454-5-2018-03-30T08-00-32-326,2
4-2-2-63454-5-2018-03-30T08-12-30-680,0
4-2-1-62848-6-2018-03-08T13-43-57-379,2
4-2-1-62848-5-2018-03-10T15-44-23-851,0
4-2-1-62848-6-2018-03-08T14-29-41-275,0
4-2-1-62848-4-2018-03-07T22-04-42-1259,1
4-2-2-63454-5-2018-03-30T08-17-50-763,0
4-2-1-62848-5-2018-03-10T15-46-22-425,2
4-2-1-62848-6-2018-03-08T14-39-32-605,0
4-2-1-62848-4-2018-03-07T22-08-43-372,0
4-2-1-62848-5-2018-03-10T15-49-15-678,0
4-2-1-62848-6-2018-03-08T14-48-32-405,0
4-2-2-63454-5-2018-03-30T08-28-40-464,1
4-2-1-62848-4-2018-03-07T22-21-32-348,0
4-2-2-63454-5-2018-03-30T08-32-42-255,2
4-2-1-62848-6-2018-03-08T14-58-17-914,0
4-2-1-62848-5-2018-03-10T15-56-02-778,0
4-2-1-62848-4-2018-03-07T22-40-29-230,0
4-2-2-63454-5-2018-03-30T08-46-31-700,2
4-2-1-62848-6-2018-03-08T15-04-48-526,0
4-2-1-62848-4-2018-03-07T22-53-08-586,0
4-2-1-62848-5-2018-03-10T16-15-46-345,0
4-2-2-63454-5-2018-03-30T08-49-08-733,2
4-2-1-62848-6-2018-03-08T15-12-02-640,0
4-2-1-62848-5-2018-03-10T16-22-07-387,0
4-2-1-62848-4-2018-03-07T23-01-11-872,1
4-2-2-63454-5-2018-03-30T08-49-12-264,2
4-2-1-62848-5-2018-03-10T17-05-40-386,0
4-2-1-62848-6-2018-03-08T15-36-54-694,0
4-2-1-62848-4-2018-03-07T23-05-30-388,2
4-2-2-63454-5-2018-03-30T09-03-18-959,2
4-2-2-63454-5-2018-03-30T14-01-01-536,0
4-2-1-62848-6-2018-03-08T23-58-37-740,0
4-2-1-62848-4-2018-03-07T23-09-13-1104,0
4-2-2-63454-5-2018-03-30T14-01-41-555,0
4-2-1-62848-5-2018-03-10T18-40-51-286,0
4-2-2-63454-5-2018-03-30T14-11-15-308,0
4-2-1-62848-5-2018-03-10T18-57-39-497,0
4-2-1-62848-4-2018-03-07T23-30-23-340,2
4-2-1-62848-6-2018-03-09T00-07-28-1068,0
4-2-2-63454-5-2018-03-30T14-27-50-357,0
4-2-1-62848-5-2018-03-10T18-58-52-285,0
4-2-1-62848-4-2018-03-07T23-44-41-271,0
4-2-1-62848-5-2018-03-10T18-59-43-304,1
4-2-2-63454-5-2018-03-30T14-35-05-566,0
4-2-1-62848-4-2018-03-08T00-04-03-542,2
4-2-1-62848-5-2018-03-10T19-12-59-525,0
4-2-1-62848-6-2018-03-09T00-09-03-788,0
4-2-1-62848-5-2018-03-10T19-21-03-350,0
4-2-2-63454-5-2018-03-30T14-57-47-867,0
4-2-1-62848-4-2018-03-08T00-26-31-1258,2
4-2-1-62848-5-2018-03-10T19-26-37-632,1
4-2-1-62848-6-2018-03-09T00-12-14-428,2
4-2-2-63454-5-2018-03-30T15-00-33-582,0
4-2-1-62848-6-2018-03-09T00-17-01-439,0
4-2-1-62848-6-2018-03-09T00-52-49-704,0
4-2-1-62848-5-2018-03-10T19-28-19-1400,0
4-2-1-62848-6-2018-03-09T01-35-54-555,0
4-2-1-62848-4-2018-03-08T00-33-15-874,0
4-2-1-62848-6-2018-03-09T02-50-34-383,0
4-2-1-62848-5-2018-03-10T20-48-09-347,0
4-2-1-62848-4-2018-03-08T00-34-43-420,0
4-2-1-62848-6-2018-03-09T13-05-36-452,0
4-2-2-63454-5-2018-03-30T17-50-09-763,0
4-2-1-62848-5-2018-03-10T20-56-53-610,0
4-2-1-62848-6-2018-03-09T13-26-50-303,0
4-2-2-63454-5-2018-03-30T18-03-38-799,0
4-2-1-62848-6-2018-03-09T14-51-40-818,0
4-2-1-62848-5-2018-03-10T21-31-34-551,0
4-2-1-62848-4-2018-03-08T01-29-57-1424,0
4-2-1-62848-5-2018-03-10T21-41-07-255,0
4-2-1-62848-6-2018-03-09T15-40-02-460,0
4-2-2-63454-5-2018-03-30T18-07-15-570,0
4-2-2-63454-5-2018-03-30T18-08-40-466,0
4-2-1-62848-6-2018-03-09T15-41-22-788,2
