,0Frame_id,0P1_mmr,0P2_mmr,0Replay_id,P1_Supply_army,P1_Supply_total,P1_Supply_used,P1_Supply_workers,P1_Unit_Assimilator,P1_Unit_Forge,P1_Unit_Gateway,P1_Unit_Nexus,P1_Unit_Probe,P1_Unit_Pylon,P1_minerals,P1_vespene,P2_Supply_army,P2_Supply_total,P2_Supply_used,P2_Supply_workers,P2_Unit_Assimilator,P2_Unit_Forge,P2_Unit_Gateway,P2_Unit_Nexus,P2_Unit_PhotonCannon,P2_Unit_Probe,P2_Unit_Pylon,P2_minerals,P2_vespene
47,1440.0,3576.0,3558.0,4-2-1-62848-4-2018-03-07T01-13-49-636,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,140.0,0.0,0.0,23.0,18.0,17.0,0.0,0.0,2.0,1.0,0.0,17.0,1.0,30.0,0.0
48,1440.0,3861.0,0.0,4-2-2-63454-5-2018-03-28T21-34-55-1211,0.0,23.0,18.0,17.0,0.0,0.0,0.0,1.0,17.0,1.0,350.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,150.0,0.0
49,1440.0,4396.0,4287.0,4-2-1-62848-5-2018-03-27T08-20-24-335,0.0,23.0,18.0,17.0,0.0,0.0,0.0,1.0,17.0,2.0,305.0,0.0,0.0,23.0,19.0,18.0,0.0,1.0,0.0,1.0,0.0,18.0,2.0,90.0,0.0
50,1440.0,3633.0,3576.0,4-2-1-62848-5-2018-03-09T17-40-52-771,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,16.0,1.0,70.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,110.0,0.0
51,1440.0,3204.0,3219.0,4-2-1-62848-4-2018-03-07T01-20-23-334,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,16.0,1.0,95.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,160.0,0.0
52,1440.0,4467.0,4477.0,4-2-1-62848-5-2018-03-27T08-40-03-529,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,30.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,65.0,0.0
53,1440.0,3183.0,3240.0,4-2-1-62848-4-2018-03-07T01-26-47-325,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,125.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,40.0,0.0
54,1440.0,3327.0,3219.0,4-2-1-62848-4-2018-03-07T01-57-00-330,0.0,23.0,17.0,16.0,1.0,0.0,1.0,1.0,16.0,1.0,220.0,0.0,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,2.0,80.0,0.0
55,1440.0,4499.0,4364.0,4-2-1-62848-5-2018-03-27T08-47-27-184,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,160.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,90.0,0.0
56,1440.0,4583.0,4512.0,4-2-1-62848-5-2018-03-09T18-47-34-686,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,16.0,1.0,90.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,70.0,0.0
57,1440.0,4516.0,4346.0,4-2-1-62848-5-2018-03-27T08-52-58-281,0.0,23.0,18.0,17.0,1.0,0.0,1.0,1.0,17.0,1.0,135.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,55.0,0.0
58,1440.0,3841.0,3886.0,4-2-2-63454-5-2018-03-28T21-51-10-932,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,17.0,1.0,65.0,0.0,0.0,23.0,18.0,18.0,2.0,0.0,1.0,1.0,0.0,18.0,1.0,105.0,0.0
59,1440.0,3163.0,2943.0,4-2-1-62848-4-2018-03-07T01-59-17-631,0.0,23.0,17.0,17.0,0.0,0.0,1.0,1.0,17.0,1.0,275.0,0.0,0.0,23.0,18.0,17.0,0.0,0.0,1.0,1.0,0.0,17.0,1.0,205.0,0.0
60,1440.0,3419.0,3402.0,4-2-1-62848-5-2018-03-27T08-57-47-400,0.0,23.0,19.0,18.0,2.0,0.0,1.0,1.0,18.0,1.0,55.0,0.0,0.0,23.0,17.0,16.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,165.0,0.0
61,1440.0,3842.0,3853.0,4-2-1-62848-5-2018-03-09T19-18-49-670,0.0,23.0,19.0,18.0,2.0,0.0,1.0,1.0,18.0,1.0,40.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,45.0,0.0
62,1440.0,3370.0,3448.0,4-2-1-62848-4-2018-03-07T02-13-32-445,0.0,23.0,15.0,15.0,0.0,0.0,3.0,1.0,15.0,1.0,105.0,0.0,0.0,23.0,18.0,17.0,2.0,0.0,1.0,1.0,0.0,17.0,1.0,65.0,0.0
63,1440.0,4134.0,0.0,4-2-1-62848-5-2018-03-27T09-06-00-437,0.0,23.0,19.0,18.0,0.0,1.0,0.0,1.0,18.0,2.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
