,720,1440,2160,2880,3600,4320,5040,5760,6480,7200,7920,8640,9360,10080,10800,Names
4-3-2-65384-6-2018-06-09T16-37-13-832,14.0,17.0,19.0,21.0,21.0,21.0,24.0,25.0,27.0,32.0,37.0,40.0,42.0,43.0,44.0,1
4-2-2-63454-4-2018-04-02T09-14-30-914,14.0,16.0,19.0,21.0,23.0,25.0,24.0,17.0,16.0,21.0,26.0,27.0,31.0,33.0,34.0,4
4-3-2-65384-4-2018-06-16T03-08-27-1391,14.0,17.0,19.0,20.0,21.0,22.0,19.0,20.0,22.0,24.0,28.0,28.0,31.0,36.0,40.0,1
4-2-1-62848-4-2018-03-27T10-09-05-946,15.0,16.0,18.0,18.0,17.0,23.0,26.0,31.0,36.0,36.0,38.0,39.0,41.0,41.0,42.0,4
4-2-2-63454-4-2018-04-02T11-24-03-1007,14.0,18.0,19.0,21.0,23.0,25.0,24.0,25.0,24.0,24.0,24.0,26.0,30.0,33.0,37.0,1
4-3-2-65384-4-2018-06-16T03-53-43-927,14.0,17.0,19.0,21.0,22.0,23.0,21.0,23.0,22.0,27.0,32.0,37.0,41.0,42.0,42.0,2
4-2-2-63454-4-2018-04-02T15-23-43-1008,14.0,17.0,20.0,21.0,21.0,25.0,30.0,34.0,39.0,41.0,44.0,47.0,54.0,58.0,61.0,3
4-3-2-65384-6-2018-06-10T11-50-37-1004,14.0,18.0,20.0,21.0,21.0,21.0,23.0,25.0,30.0,27.0,29.0,31.0,32.0,35.0,32.0,1
4-2-2-63454-4-2018-04-02T15-28-04-1993,14.0,16.0,17.0,19.0,21.0,24.0,26.0,25.0,27.0,27.0,29.0,32.0,30.0,32.0,34.0,2
4-3-2-65384-4-2018-06-16T10-49-48-1335,14.0,18.0,19.0,19.0,19.0,19.0,19.0,21.0,22.0,24.0,29.0,34.0,37.0,41.0,41.0,4
4-3-2-65384-4-2018-06-16T11-10-03-846,14.0,17.0,20.0,21.0,22.0,23.0,23.0,24.0,23.0,23.0,23.0,24.0,26.0,31.0,32.0,4
4-2-1-62848-4-2018-03-27T13-22-21-1345,14.0,18.0,19.0,22.0,22.0,19.0,22.0,24.0,28.0,29.0,34.0,38.0,38.0,40.0,39.0,4
4-2-1-62848-4-2018-03-27T13-33-53-871,14.0,17.0,19.0,22.0,23.0,23.0,24.0,29.0,31.0,36.0,36.0,40.0,44.0,50.0,51.0,1
4-3-2-65384-6-2018-06-10T18-37-32-1015,14.0,17.0,20.0,21.0,21.0,21.0,22.0,22.0,21.0,26.0,31.0,32.0,36.0,40.0,50.0,3
4-2-2-63454-4-2018-04-02T22-29-05-1000,14.0,16.0,15.0,17.0,20.0,20.0,20.0,21.0,24.0,29.0,33.0,36.0,39.0,40.0,42.0,1
4-2-1-62848-4-2018-03-27T15-14-50-890,14.0,17.0,18.0,21.0,23.0,25.0,26.0,29.0,29.0,31.0,32.0,24.0,26.0,30.0,34.0,2
4-2-1-62848-4-2018-03-27T15-25-03-998,14.0,17.0,19.0,21.0,21.0,21.0,14.0,16.0,16.0,19.0,19.0,20.0,19.0,20.0,26.0,2
4-3-2-65384-4-2018-06-16T20-19-00-1134,14.0,17.0,19.0,19.0,21.0,23.0,23.0,23.0,15.0,17.0,18.0,23.0,25.0,18.0,17.0,3
4-3-2-65384-6-2018-06-11T21-03-25-1310,14.0,18.0,18.0,21.0,21.0,21.0,23.0,25.0,25.0,29.0,34.0,35.0,39.0,42.0,46.0,4
